biosequence_name	biosequence_accession	biosequence_gene_name	is_covering	pct_coverage	presence_level	probability	confidence	n_observations	norm_PSMs_per_100K	n_distinct_peptides	n_distinct_synpeptides	chromosome	genetic_locus	start_in_chromosome	end_in_chromosome	strand	relationship_phrase	reference_biosequence	represented_by_biosequence_id	group_number	seq_unique_prots_in_group	protein_group_seq_align_link	is_keratin	is_immunoglobulin	biosequence_description	organism_full_name
Q96DC8	Q96DC8	ECHDC3	C	66.67	canonical	  0.999	  0.000	73	  0.510	17									Q96DC8	4216	29				"coreProteome GENCODE_v48 SP sp|Q96DC8|ECHD3_HUMAN Enoyl-CoA hydratase domain-containing protein 3, mitochondrial OS=Homo sapiens OX=9606 GN=ECHDC3 PE=1 SV=2 \VariantSimple=(69|T)(151|T)(162|N)"	Homo sapiens
O00548	O00548	DLL1	C	35.96	canonical	  0.999	  0.000	150	  0.510	19									O00548	730	4				coreProteome GENCODE_v48 SP sp|O00548|DLL1_HUMAN Delta-like protein 1 OS=Homo sapiens OX=9606 GN=DLL1 PE=1 SV=2 \VariantSimple=(18|QIGGQ)(19|723|-)(77|723|-)(179|F)(444|M)(498|723|-)(509|723|-)	Homo sapiens
O43169	O43169	CYB5B	C	44	canonical	  0.999	  0.000	27	  0.510	5									O43169	852	13				coreProteome GENCODE_v48 SP sp|O43169|CYB5B_HUMAN Cytochrome b5 type B OS=Homo sapiens OX=9606 GN=CYB5B PE=1 SV=3 	Homo sapiens
P61201	P61201	COPS2	C	55.3	canonical	  0.999	  0.000	89	  0.510	18									P61201	2599	15				coreProteome GENCODE_v48 SP sp|P61201|CSN2_HUMAN COP9 signalosome complex subunit 2 OS=Homo sapiens OX=9606 GN=COPS2 PE=1 SV=1 	Homo sapiens
O94779	O94779	CNTN5	C	33.55	canonical	  0.999	  0.000	228	  0.510	27									Q9P232	5026	62				coreProteome GENCODE_v48 SP sp|O94779|CNTN5_HUMAN Contactin-5 OS=Homo sapiens OX=9606 GN=CNTN5 PE=1 SV=2 \VariantSimple=(23|A)(70|R)(81|S)(530|V)(1065|F)(1079|T)(1094|V)	Homo sapiens
Q14677	Q14677	CLINT1	C	24.96	canonical	  0.999	  0.000	88	  0.510	14									Q14677	3115	24				coreProteome GENCODE_v48 SP sp|Q14677|EPN4_HUMAN Clathrin interactor 1 OS=Homo sapiens OX=9606 GN=CLINT1 PE=1 SV=1 	Homo sapiens
Q14011	Q14011	CIRBP	C	33.14	canonical	  0.999	  0.000	38	  0.510	4									Q14011	3056	18				coreProteome GENCODE_v48 SP sp|Q14011|CIRBP_HUMAN Cold-inducible RNA-binding protein OS=Homo sapiens OX=9606 GN=CIRBP PE=1 SV=1 	Homo sapiens
Q16186	Q16186	ADRM1	C	23.34	canonical	  0.999	  0.000	54	  0.510	7									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|Q16186|ADRM1_HUMAN Proteasomal ubiquitin receptor ADRM1 OS=Homo sapiens OX=9606 GN=ADRM1 PE=1 SV=2 	Homo sapiens
O75509	O75509	TNFRSF21	C	16.03	canonical	  0.999	  0.000	138	  0.500	9									O75509	1066	4				coreProteome GENCODE_v48 SP sp|O75509|TNR21_HUMAN Tumor necrosis factor receptor superfamily member 21 OS=Homo sapiens OX=9606 GN=TNFRSF21 PE=1 SV=1 	Homo sapiens
Q92956	Q92956	TNFRSF14	C	31.1	canonical	  0.999	  0.000	45	  0.500	5									Q92956	4134	11				coreProteome GENCODE_v48 SP sp|Q92956|TNR14_HUMAN Tumor necrosis factor receptor superfamily member 14 OS=Homo sapiens OX=9606 GN=TNFRSF14 PE=1 SV=3 \VariantSimple=(17|R)(117|T)(174|E)(241|I)	Homo sapiens
P48307	P48307	TFPI2	C	30.21	canonical	  0.999	  0.000	34	  0.500	6									P48307	2292	10				coreProteome GENCODE_v48 SP sp|P48307|TFPI2_HUMAN Tissue factor pathway inhibitor 2 OS=Homo sapiens OX=9606 GN=TFPI2 PE=1 SV=1 \VariantSimple=(102|A)(231|Q)	Homo sapiens
Q9Y336	Q9Y336	SIGLEC9	C	12.1	canonical	  0.999	  0.000	72	  0.500	3									Q9Y336	5291	10				coreProteome GENCODE_v48 SP sp|Q9Y336|SIGL9_HUMAN Sialic acid-binding Ig-like lectin 9 OS=Homo sapiens OX=9606 GN=SIGLEC9 PE=1 SV=2 \VariantSimple=(100|E)(125|N)(131|Q)(147|K)(315|E)(316|D)(349|A)	Homo sapiens
Q13797	Q13797	ITGA9	C	36.43	canonical	  0.999	  0.000	176	  0.500	30									Q13797	3040	5				coreProteome GENCODE_v48 SP sp|Q13797|ITA9_HUMAN Integrin alpha-9 OS=Homo sapiens OX=9606 GN=ITGA9 PE=1 SV=2 \VariantSimple=(507|E)(750|C)	Homo sapiens
Q9Y613	Q9Y613	FHOD1	C	34.11	canonical	  0.999	  0.000	237	  0.500	34									Q9Y613	5376	29				coreProteome GENCODE_v48 SP sp|Q9Y613|FHOD1_HUMAN FH1/FH2 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FHOD1 PE=1 SV=3 	Homo sapiens
Q9H098	Q9H098	FAM107B	C	38.17	canonical	  0.999	  0.000	30	  0.500	4									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|Q9H098|F107B_HUMAN Protein FAM107B OS=Homo sapiens OX=9606 GN=FAM107B PE=1 SV=1 	Homo sapiens
Q7L2H7	Q7L2H7	EIF3M	C	59.89	canonical	  0.999	  0.000	72	  0.500	13									Q7L2H7	3640	18				coreProteome GENCODE_v48 SP sp|Q7L2H7|EIF3M_HUMAN Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens OX=9606 GN=EIF3M PE=1 SV=1 \VariantSimple=(37|R)(80|G)(346|R)	Homo sapiens
O75822	O75822	EIF3J	C	52.71	canonical	  0.999	  0.000	56	  0.500	12									O75822	1094	10				coreProteome GENCODE_v48 SP sp|O75822|EIF3J_HUMAN Eukaryotic translation initiation factor 3 subunit J OS=Homo sapiens OX=9606 GN=EIF3J PE=1 SV=2 \VariantSimple=(141|T)	Homo sapiens
P05814	P05814	CSN2	C	37.61	canonical	  0.999	  0.000	30	  0.500	12									P05814	1428	3				coreProteome GENCODE_v48 SP sp|P05814|CASB_HUMAN Beta-casein OS=Homo sapiens OX=9606 GN=CSN2 PE=1 SV=4 	Homo sapiens
P55060	P55060	CSE1L	C	58.39	canonical	  0.999	  0.000	210	  0.500	39									P55060	2505	18				coreProteome GENCODE_v48 SP sp|P55060|XPO2_HUMAN Exportin-2 OS=Homo sapiens OX=9606 GN=CSE1L PE=1 SV=3 \VariantSimple=(754|V)(842|F)(968|L)	Homo sapiens
A6ND91	A6ND91	ASPDH	C	49.82	canonical	  0.999	  0.000	60	  0.500	10									A6ND91	33	9				coreProteome GENCODE_v48 SP sp|A6ND91|ASPDH_HUMAN Aspartate dehydrogenase domain-containing protein OS=Homo sapiens OX=9606 GN=ASPDH PE=1 SV=2 \VariantSimple=(266|R)	Homo sapiens
Q92747	Q92747	ARPC1A	C	46.22	canonical	  0.999	  0.000	82	  0.500	12									O15143	805	44				coreProteome GENCODE_v48 SP sp|Q92747|ARC1A_HUMAN Actin-related protein 2/3 complex subunit 1A OS=Homo sapiens OX=9606 GN=ARPC1A PE=1 SV=2 	Homo sapiens
Q92619	Q92619	ARHGAP45	C	19.28	canonical	  0.999	  0.000	179	  0.500	17									Q92619	4099	24				coreProteome GENCODE_v48 SP sp|Q92619|HMHA1_HUMAN Rho GTPase-activating protein 45 OS=Homo sapiens OX=9606 GN=ARHGAP45 PE=1 SV=2 \VariantSimple=(139|H)(259|D)(439|G)(515|I)(886|P)	Homo sapiens
P35573	P35573	AGL	C	52.35	canonical	  0.999	  0.000	342	  0.500	66									P35573	2122	14				coreProteome GENCODE_v48 SP sp|P35573|GDE_HUMAN Glycogen debranching enzyme OS=Homo sapiens OX=9606 GN=AGL PE=1 SV=3 \VariantSimple=(38|A)(229|R)(387|Q)(701|S)(962|C)(1067|S)(1115|R)(1144|N)(1207|T)(1253|H)(1343|K)(1448|R)(1487|G)	Homo sapiens
O95379	O95379	TNFAIP8	C	17.17	canonical	  0.999	  0.000	37	  0.490	2									O95379	1188	9				coreProteome GENCODE_v48 SP sp|O95379|TFIP8_HUMAN Tumor necrosis factor alpha-induced protein 8 OS=Homo sapiens OX=9606 GN=TNFAIP8 PE=1 SV=1 \VariantSimple=(151|C)	Homo sapiens
Q04941	Q04941	PLP2	C	18.42	canonical	  0.999	  0.000	22	  0.490	2									Q04941	2834	5				coreProteome GENCODE_v48 SP sp|Q04941|PLP2_HUMAN Proteolipid protein 2 OS=Homo sapiens OX=9606 GN=PLP2 PE=1 SV=1 \VariantSimple=(91|S)	Homo sapiens
P05166	P05166	PCCB	C	57.7	canonical	  0.999	  0.000	117	  0.490	24									P05166	1412	58				"coreProteome GENCODE_v48 SP sp|P05166|PCCB_HUMAN Propionyl-CoA carboxylase beta chain, mitochondrial OS=Homo sapiens OX=9606 GN=PCCB PE=1 SV=3 \VariantSimple=(17|M)(44|P)(67|S)(106|R)(107|M)(112|D)(131|R)(140|KICK)(153|P)(165|Q)(165|W)(168|K)(188|R)(198|D"	Homo sapiens
Q08334	Q08334	IL10RB	C	21.54	canonical	  0.999	  0.000	59	  0.490	6									Q08334	2871	29				coreProteome GENCODE_v48 SP sp|Q08334|I10R2_HUMAN Interleukin-10 receptor subunit beta OS=Homo sapiens OX=9606 GN=IL10RB PE=1 SV=2 \VariantSimple=(47|E)	Homo sapiens
Q969P0	Q969P0	IGSF8	C	16.64	canonical	  0.999	  0.000	106	  0.490	8									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|Q969P0|IGSF8_HUMAN Immunoglobulin superfamily member 8 OS=Homo sapiens OX=9606 GN=IGSF8 PE=1 SV=1 	Homo sapiens
Q96DB2	Q96DB2	HDAC11	C	22.19	canonical	  0.999	  0.000	66	  0.490	5									Q96DB2	4214	25				coreProteome GENCODE_v48 SP sp|Q96DB2|HDA11_HUMAN Histone deacetylase 11 OS=Homo sapiens OX=9606 GN=HDAC11 PE=1 SV=1 	Homo sapiens
P06241	P06241	FYN	C	19.93	canonical	  0.999	  0.000	111	  0.490	8									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|P06241|FYN_HUMAN Tyrosine-protein kinase Fyn OS=Homo sapiens OX=9606 GN=FYN PE=1 SV=3 \VariantSimple=(243|L)(410|R)(445|F)(506|E)	Homo sapiens
Q8N128	Q8N128	FAM177A1	C	39.91	canonical	  0.999	  0.000	48	  0.490	6									Q8N128	3826	8				coreProteome GENCODE_v48 SP sp|Q8N128|F177A_HUMAN Protein FAM177A1 OS=Homo sapiens OX=9606 GN=FAM177A1 PE=1 SV=1 	Homo sapiens
Q08211	Q08211	DHX9	C	49.92	canonical	  0.999	  0.000	246	  0.490	49									Q08211	2869	41				coreProteome GENCODE_v48 SP sp|Q08211|DHX9_HUMAN ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4 \VariantSimple=(141|Q)(229|1270|-)(411|E)(414|R)(473|I)(608|G)(761|Q)(761|W)(764|1270|-)(837|T)(846|G)(894|V)(1052|Q)(1163|R)(1166|P)(1	Homo sapiens
O75947	O75947	ATP5PD	C	54.66	canonical	  0.999	  0.000	37	  0.490	8									O75947	1107	15				"coreProteome GENCODE_v48 SP sp|O75947|ATP5H_HUMAN ATP synthase peripheral stalk subunit d, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PD PE=1 SV=3 "	Homo sapiens
Q9BV57	Q9BV57	ADI1	C	51.96	canonical	  0.999	  0.000	37	  0.490	7									Q9BV57	4518	6				coreProteome GENCODE_v48 SP sp|Q9BV57|MTND_HUMAN Acireductone dioxygenase OS=Homo sapiens OX=9606 GN=ADI1 PE=1 SV=1 	Homo sapiens
P49767	P49767	VEGFC	C	50.12	canonical	  0.999	  0.000	93	  0.480	16									P49767	2349	6				coreProteome GENCODE_v48 SP sp|P49767|VEGFC_HUMAN Vascular endothelial growth factor C OS=Homo sapiens OX=9606 GN=VEGFC PE=1 SV=1 	Homo sapiens
Q13148	Q13148	TARDBP	C	26.33	canonical	  0.999	  0.000	58	  0.480	7									Q13148	2951	30				coreProteome GENCODE_v48 SP sp|Q13148|TADBP_HUMAN TAR DNA-binding protein 43 OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1 \VariantSimple=(90|V)(169|G)(267|S)(287|S)(290|A)(294|A)(294|V)(295|R)(295|S)(298|S)(315|T)(321|V)(331|K)(332|N)(335|D)(337|V)(343|R)(	Homo sapiens
Q99574	Q99574	SERPINI1	C	47.07	canonical	  0.999	  0.000	80	  0.480	15									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|Q99574|NEUS_HUMAN Neuroserpin OS=Homo sapiens OX=9606 GN=SERPINI1 PE=1 SV=1 \VariantSimple=(49|P)(52|R)	Homo sapiens
O95747	O95747	OXSR1	C	33.02	canonical	  0.999	  0.000	97	  0.480	11									O95747	1219	29				coreProteome GENCODE_v48 SP sp|O95747|OXSR1_HUMAN Serine/threonine-protein kinase OSR1 OS=Homo sapiens OX=9606 GN=OXSR1 PE=1 SV=1 \VariantSimple=(304|I)(425|T)(433|S)	Homo sapiens
O95502	O95502	NPTXR	C	39.6	canonical	  0.999	  0.000	90	  0.480	14									O95502	1204	3				coreProteome GENCODE_v48 SP sp|O95502|NPTXR_HUMAN Neuronal pentraxin receptor OS=Homo sapiens OX=9606 GN=NPTXR PE=1 SV=2 	Homo sapiens
P47972	P47972	NPTX2	C	46.4	canonical	  0.999	  0.000	87	  0.480	17									Q4LDE5	3332	32				coreProteome GENCODE_v48 SP sp|P47972|NPTX2_HUMAN Neuronal pentraxin-2 OS=Homo sapiens OX=9606 GN=NPTX2 PE=1 SV=2 	Homo sapiens
Q6UXI9	Q6UXI9	NPNT	C	20.71	canonical	  0.999	  0.000	127	  0.480	10									Q6UXI9	3581	34				coreProteome GENCODE_v48 SP sp|Q6UXI9|NPNT_HUMAN Nephronectin OS=Homo sapiens OX=9606 GN=NPNT PE=1 SV=3 \VariantSimple=(159|H)(234|V)(473|S)(476|T)	Homo sapiens
Q5VTT5	Q5VTT5	MYOM3	C	41.96	canonical	  0.999	  0.000	269	  0.480	43									Q5VTT5	3431	4				coreProteome GENCODE_v48 SP sp|Q5VTT5|MYOM3_HUMAN Myomesin-3 OS=Homo sapiens OX=9606 GN=MYOM3 PE=1 SV=1 \VariantSimple=(258|H)(266|M)(344|T)(435|R)(528|G)(662|R)(775|Q)(853|S)(892|A)(1041|L)(1066|T)(1124|Q)	Homo sapiens
P27816	P27816	MAP4	C	53.99	canonical	  0.999	  0.000	240	  0.480	53									P27816	1981	222				coreProteome GENCODE_v48 SP sp|P27816|MAP4_HUMAN Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3 \VariantSimple=(23|Q)(366|L)(367|P)(409|G)(427|Y)(441|Q)(628|I)(994|V)	Homo sapiens
Q9H910	Q9H910	JPT2	C	42.63	canonical	  0.999	  0.000	43	  0.480	8									Q9H910	4732	22				coreProteome GENCODE_v48 SP sp|Q9H910|JUPI2_HUMAN Jupiter microtubule associated homolog 2 OS=Homo sapiens OX=9606 GN=JPT2 PE=1 SV=1 	Homo sapiens
P48047	P48047	ATP5PO	C	51.64	canonical	  0.999	  0.000	43	  0.480	8									P48047	2285	12				"coreProteome GENCODE_v48 SP sp|P48047|ATPO_HUMAN ATP synthase peripheral stalk subunit OSCP, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PO PE=1 SV=1 \(12|213|-)(98|R)"	Homo sapiens
P16989	P16989	YBX3	C	41.13	canonical	  0.999	  0.000	60	  0.470	14									P67809	2702	34				coreProteome GENCODE_v48 SP sp|P16989|YBOX3_HUMAN Y-box-binding protein 3 OS=Homo sapiens OX=9606 GN=YBX3 PE=1 SV=4 \VariantSimple=(75|A)	Homo sapiens
Q9H7M9	Q9H7M9	VSIR	C	17.36	canonical	  0.999	  0.000	56	  0.470	7									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|Q9H7M9|VISTA_HUMAN V-type immunoglobulin domain-containing suppressor of T-cell activation OS=Homo sapiens OX=9606 GN=VSIR PE=1 SV=3 \VariantSimple=(187|E)	Homo sapiens
O14949	O14949	UQCRQ	C	41.46	canonical	  0.999	  0.000	21	  0.470	2									O14949	784	4				coreProteome GENCODE_v48 SP sp|O14949|QCR8_HUMAN Cytochrome b-c1 complex subunit 8 OS=Homo sapiens OX=9606 GN=UQCRQ PE=1 SV=4 \VariantSimple=(45|F)	Homo sapiens
P29144	P29144	TPP2	C	44.36	canonical	  0.999	  0.000	245	  0.470	45									P29144	2007	43				coreProteome GENCODE_v48 SP sp|P29144|TPP2_HUMAN Tripeptidyl-peptidase 2 OS=Homo sapiens OX=9606 GN=TPP2 PE=1 SV=4 \VariantSimple=(28|G)(500|D)(676|I)(781|1249|-)	Homo sapiens
P53597	P53597	SUCLG1	C	48.27	canonical	  0.999	  0.000	53	  0.470	10									P53597	2463	16				"coreProteome GENCODE_v48 SP sp|P53597|SUCA_HUMAN Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLG1 PE=1 SV=4 \VariantSimple=(14|L)(37|A)(85|A)(170|R)"	Homo sapiens
P22307	P22307	SCP2	C	58.5	canonical	  0.999	  0.000	99	  0.470	27									P22307	1883	33				coreProteome GENCODE_v48 SP sp|P22307|SCP2_HUMAN Sterol carrier protein 2 OS=Homo sapiens OX=9606 GN=SCP2 PE=1 SV=2 \VariantSimple=(155|D)	Homo sapiens
P33764	P33764	S100A3	C	66.34	canonical	  0.999	  0.000	25	  0.470	5									P33764	2088	2				coreProteome GENCODE_v48 SP sp|P33764|S10A3_HUMAN Protein S100-A3 OS=Homo sapiens OX=9606 GN=S100A3 PE=1 SV=1 \VariantSimple=(3|K)	Homo sapiens
Q13637	Q13637	RAB32	C	54.67	canonical	  0.999	  0.000	50	  0.470	9									Q13637	3028	24				coreProteome GENCODE_v48 SP sp|Q13637|RAB32_HUMAN Ras-related protein Rab-32 OS=Homo sapiens OX=9606 GN=RAB32 PE=1 SV=3 \VariantSimple=(71|R)	Homo sapiens
Q9BRP8	Q9BRP8	PYM1	C	50.98	canonical	  0.999	  0.000	35	  0.470	7									Q9BRP8	4468	9				coreProteome GENCODE_v48 SP sp|Q9BRP8|PYM1_HUMAN Partner of Y14 and mago OS=Homo sapiens OX=9606 GN=PYM1 PE=1 SV=1 \VariantSimple=(66|Q)	Homo sapiens
P35998	P35998	PSMC2	C	43.42	canonical	  0.999	  0.000	91	  0.470	15									P35998	2137	10				coreProteome GENCODE_v48 SP sp|P35998|PRS7_HUMAN 26S proteasome regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMC2 PE=1 SV=3 	Homo sapiens
P60201	P60201	PLP1	C	23.83	canonical	  0.999	  0.000	49	  0.470	6									P60201	2573	32				coreProteome GENCODE_v48 SP sp|P60201|MYPR_HUMAN Myelin proteolipid protein OS=Homo sapiens OX=9606 GN=PLP1 PE=1 SV=2 \VariantSimple=(15|L)(30|P)(31|P)(32|L)(32|V)(33|Y)(35|R)(35|Y)(39|T)(43|I)(46|P)(46|R)(50|C)(51|S)(60|C)(74|R)(76|P)(116|K)(117|165|-)(1	Homo sapiens
Q13526	Q13526	PIN1	C	31.9	canonical	  0.999	  0.000	32	  0.470	3									Q13526	3009	15				coreProteome GENCODE_v48 SP sp|Q13526|PIN1_HUMAN Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 OS=Homo sapiens OX=9606 GN=PIN1 PE=1 SV=1 	Homo sapiens
O43451	O43451	MGAM	C	30.44	canonical	  0.999	  0.000	458	  0.470	54									O43451	877	24				coreProteome GENCODE_v48 SP sp|O43451|MGA_HUMAN Maltase-glucoamylase OS=Homo sapiens OX=9606 GN=MGAM PE=1 SV=6 \VariantSimple=(404|H)(542|L)(858|D)(2534|I)	Homo sapiens
Q9Y383	Q9Y383	LUC7L2	C	19.39	canonical	  0.999	  0.000	64	  0.470	6									Q9Y383	5295	18				coreProteome GENCODE_v48 SP sp|Q9Y383|LC7L2_HUMAN Putative RNA-binding protein Luc7-like 2 OS=Homo sapiens OX=9606 GN=LUC7L2 PE=1 SV=2 \VariantSimple=(361|E)	Homo sapiens
O00139	O00139	KIF2A	C	37.11	canonical	  0.999	  0.000	130	  0.470	22									O00139	684	30				coreProteome GENCODE_v48 SP sp|O00139|KIF2A_HUMAN Kinesin-like protein KIF2A OS=Homo sapiens OX=9606 GN=KIF2A PE=1 SV=3 \VariantSimple=(317|N)(321|D)	Homo sapiens
Q2TAA2	Q2TAA2	IAH1	C	49.6	canonical	  0.999	  0.000	42	  0.470	8									Q2TAA2	3301	36				coreProteome GENCODE_v48 SP sp|Q2TAA2|IAH1_HUMAN Isoamyl acetate-hydrolyzing esterase 1 homolog OS=Homo sapiens OX=9606 GN=IAH1 PE=1 SV=1 	Homo sapiens
Q9H0R4	Q9H0R4	HDHD2	C	64.86	canonical	  0.999	  0.000	46	  0.470	9									Q9H0R4	4641	20				coreProteome GENCODE_v48 SP sp|Q9H0R4|HDHD2_HUMAN Haloacid dehalogenase-like hydrolase domain-containing protein 2 OS=Homo sapiens OX=9606 GN=HDHD2 PE=1 SV=1 \VariantSimple=(85|Q)	Homo sapiens
Q6V0I7	Q6V0I7	FAT4	C	25.28	canonical	  0.999	  0.000	771	  0.470	95									Q6V0I7	3589	59				coreProteome GENCODE_v48 SP sp|Q6V0I7|FAT4_HUMAN Protocadherin Fat 4 OS=Homo sapiens OX=9606 GN=FAT4 PE=1 SV=2 \VariantSimple=(453|L)(475|L)(486|Q)(807|V)(2375|K)(2826|N)(3524|D)(3828|E)(3873|N)(4159|F)(4282|F)(4374|K)(4398|Y)(4972|S)(4977|T)	Homo sapiens
P05198	P05198	EIF2S1	C	57.46	canonical	  0.999	  0.000	77	  0.470	14									P05198	1414	12				coreProteome GENCODE_v48 SP sp|P05198|IF2A_HUMAN Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=3 	Homo sapiens
P56134	P56134	ATP5MF	C	27.66	canonical	  0.999	  0.000	14	  0.470	2									P56134	2535	15				"coreProteome GENCODE_v48 SP sp|P56134|ATPK_HUMAN ATP synthase F(0) complex subunit f, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MF PE=1 SV=3 "	Homo sapiens
Q8NBK3	Q8NBK3	SUMF1	C	38.24	canonical	  0.999	  0.000	52	  0.460	10									Q8NBK3	3900	19				coreProteome GENCODE_v48 SP sp|Q8NBK3|SUMF1_HUMAN Formylglycine-generating enzyme OS=Homo sapiens OX=9606 GN=SUMF1 PE=1 SV=3 \VariantSimple=(20|F)(63|N)(155|P)(177|P)(179|S)(218|Y)(224|W)(247|R)(259|I)(263|V)(266|L)(279|V)(327|374|-)(336|R)(345|C)(348|P)(	Homo sapiens
P13521	P13521	SCG2	C	37.12	canonical	  0.999	  0.000	131	  0.460	19									P13521	1654	4				coreProteome GENCODE_v48 SP sp|P13521|SCG2_HUMAN Secretogranin-2 OS=Homo sapiens OX=9606 GN=SCG2 PE=1 SV=2 \VariantSimple=(61|H)(196|V)(294|G)(421|G)(535|G)(564|L)	Homo sapiens
P12004	P12004	PCNA	C	72.8	canonical	  0.999	  0.000	59	  0.460	15									P12004	1627	7				coreProteome GENCODE_v48 SP sp|P12004|PCNA_HUMAN Proliferating cell nuclear antigen OS=Homo sapiens OX=9606 GN=PCNA PE=1 SV=1 \VariantSimple=(228|I)	Homo sapiens
O95777	O95777	LSM8	C	71.88	canonical	  0.999	  0.000	24	  0.460	4									O95777	1221	6				coreProteome GENCODE_v48 SP sp|O95777|LSM8_HUMAN U6 snRNA-associated Sm-like protein LSm8 OS=Homo sapiens OX=9606 GN=LSM8 PE=1 SV=3 	Homo sapiens
P26010	P26010	ITGB7	C	26.32	canonical	  0.999	  0.000	141	  0.460	14									P05107	1402	70				coreProteome GENCODE_v48 SP sp|P26010|ITB7_HUMAN Integrin beta-7 OS=Homo sapiens OX=9606 GN=ITGB7 PE=1 SV=1 \VariantSimple=(672|Y)	Homo sapiens
P29323	P29323	EPHB2	C	21.71	canonical	  0.999	  0.000	188	  0.460	18									P04114	1364	34035				coreProteome GENCODE_v48 SP sp|P29323|EPHB2_HUMAN Ephrin type-B receptor 2 OS=Homo sapiens OX=9606 GN=EPHB2 PE=1 SV=5 \VariantSimple=(199|H)(279|S)(289|G)(361|V)(650|A)(678|N)(679|N)(745|C)(844|W)(883|V)(909|M)	Homo sapiens
P14868	P14868	DARS1	C	49.3	canonical	  0.999	  0.000	129	  0.460	19									P14868	1701	22				"coreProteome GENCODE_v48 SP sp|P14868|SYDC_HUMAN Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=DARS1 PE=1 SV=2 \VariantSimple=(256|L)(274|V)(367|Y)(426|F)(460|H)(464|L)(487|C)(494|C)(494|G)"	Homo sapiens
Q14012	Q14012	CAMK1	C	40.27	canonical	  0.999	  0.000	59	  0.460	11									Q14012	3057	26				coreProteome GENCODE_v48 SP sp|Q14012|KCC1A_HUMAN Calcium/calmodulin-dependent protein kinase type 1 OS=Homo sapiens OX=9606 GN=CAMK1 PE=1 SV=1 \VariantSimple=(217|S)(361|K)	Homo sapiens
P48788	P48788	TNNI2	C	31.32	canonical	  0.999	  0.000	17	  0.450	5									P48788	2308	3				"coreProteome GENCODE_v48 SP sp|P48788|TNNI2_HUMAN Troponin I, fast skeletal muscle OS=Homo sapiens OX=9606 GN=TNNI2 PE=1 SV=2 \VariantSimple=(174|Q)"	Homo sapiens
P55769	P55769	SNU13	C	57.03	canonical	  0.999	  0.000	27	  0.450	4									P55769	2526	7				coreProteome GENCODE_v48 SP sp|P55769|NH2L1_HUMAN NHP2-like protein 1 OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=3 \VariantSimple=(19|N)	Homo sapiens
Q05209	Q05209	PTPN12	C	45.64	canonical	  0.999	  0.000	153	  0.450	35									Q05209	2835	24				coreProteome GENCODE_v48 SP sp|Q05209|PTN12_HUMAN Tyrosine-protein phosphatase non-receptor type 12 OS=Homo sapiens OX=9606 GN=PTPN12 PE=1 SV=3 \VariantSimple=(61|R)(322|I)(573|A)(706|K)	Homo sapiens
P01210	P01210	PENK	C	35.96	canonical	  0.999	  0.000	44	  0.450	9									P01210	1289	6				coreProteome GENCODE_v48 SP sp|P01210|PENK_HUMAN Proenkephalin-A OS=Homo sapiens OX=9606 GN=PENK PE=1 SV=1 \VariantSimple=(83|N)(247|D)	Homo sapiens
Q9Y6Y9	Q9Y6Y9	LY96	C	40	canonical	  0.999	  0.000	27	  0.450	4									Q9Y6Y9	5402	9				coreProteome GENCODE_v48 SP sp|Q9Y6Y9|LY96_HUMAN Lymphocyte antigen 96 OS=Homo sapiens OX=9606 GN=LY96 PE=1 SV=2 \VariantSimple=(56|G)(157|S)	Homo sapiens
O94898	O94898	LRIG2	C	19.62	canonical	  0.999	  0.000	182	  0.450	18									O94898	1142	6				coreProteome GENCODE_v48 SP sp|O94898|LRIG2_HUMAN Leucine-rich repeats and immunoglobulin-like domains protein 2 OS=Homo sapiens OX=9606 GN=LRIG2 PE=1 SV=3 	Homo sapiens
